StateAbbr,2004+cardiovascular,2004+stroke,2004+obesity,2004+diabetes,2005+cardiovascular,2005+stroke,2005+obesity,2005+diabetes,2006+cardiovascular,2006+stroke,2006+obesity,2006+diabetes,2007+cardiovascular,2007+stroke,2007+obesity,2007+diabetes,2008+cardiovascular,2008+stroke,2008+obesity,2008+diabetes,2009+cardiovascular,2009+stroke,2009+obesity,2009+diabetes,2010+cardiovascular,2010+stroke,2010+obesity,2010+diabetes,2011+cardiovascular,2011+stroke,2011+obesity,2011+diabetes,2012+cardiovascular,2012+stroke,2012+obesity,2012+diabetes,2013+cardiovascular,2013+stroke,2013+obesity,2013+diabetes,2014+cardiovascular,2014+stroke,2014+obesity,2014+diabetes,2015+cardiovascular,2015+stroke,2015+obesity,2015+diabetes,2016+cardiovascular,2016+stroke,2016+obesity,2016+diabetes,2017+cardiovascular,2017+stroke,2017+obesity,2017+diabetes
NY,6,14,43,38,14,45,30,24,27,22,25,40,37,46,46,55,22,65,32,47,21,54,47,60,33,37,18,28,30,55,45,62,33,64,65,60,32,67,64,61,37,65,55,65,37,55,66,67,37,63,68,72,30,75,59,68
GA,6,15,23,36,17,37,16,21,21,21,19,37,33,50,26,52,21,54,19,42,24,46,35,56,46,37,26,36,36,54,31,58,35,54,40,52,33,58,41,58,41,53,35,64,45,50,45,64,45,58,43,73,37,62,48,72
GA,5,12,18,46,20,28,17,20,32,23,27,41,24,43,35,54,23,65,16,44,20,57,42,58,43,42,37,44,64,49,62,81,55,70,75,70,57,75,55,73,71,64,64,77,53,55,65,82,67,67,56,79,50,69,47,81
NY,19,19,49,29,42,37,29,20,33,26,38,29,16,54,18,54,14,47,53,48,15,69,68,56,60,39,57,38,30,61,62,62,33,69,56,59,31,77,78,71,25,53,47,66,25,55,77,75,39,71,64,83,33,70,58,80
IN,10,17,38,45,18,48,25,29,26,25,32,48,32,57,41,69,26,59,36,60,33,57,48,79,58,42,40,53,38,59,44,81,41,63,60,73,34,64,57,79,46,61,56,80,53,54,68,82,50,56,54,85,39,63,58,82
FL,7,11,20,34,15,36,13,18,20,19,17,34,32,44,22,43,22,48,17,37,23,46,27,53,43,36,20,35,39,49,24,57,41,48,34,49,38,57,37,57,44,49,37,61,45,47,46,61,47,48,43,70,40,53,49,70
KY,5,13,43,39,21,48,20,28,22,24,27,38,30,47,33,54,25,63,24,48,25,53,40,64,52,43,28,42,52,65,41,73,48,65,51,66,44,73,54,75,43,68,44,77,53,59,53,81,51,68,46,84,39,74,52,82
GA,13,18,36,37,20,52,14,25,28,28,38,47,40,57,45,61,20,67,31,48,26,57,54,80,53,35,43,52,45,56,49,70,47,55,66,67,50,70,72,73,55,65,64,75,63,60,79,77,54,67,60,83,43,75,54,80
TN-VA,9,15,24,31,15,47,18,26,22,27,28,44,45,67,27,65,33,64,29,55,30,73,37,62,89,54,28,40,79,72,36,89,54,68,47,68,55,79,50,72,61,68,55,82,62,60,60,85,56,73,51,84,39,84,50,84
NY,7,14,26,31,13,53,18,21,21,22,24,39,24,51,29,53,17,64,27,46,15,56,38,62,34,42,32,38,31,57,36,64,30,57,54,60,26,64,50,69,31,59,48,71,33,55,57,70,28,60,45,73,24,66,48,74
CT,6,16,34,35,13,45,22,24,19,25,27,40,26,52,32,52,20,61,28,44,19,54,43,62,41,42,34,39,37,56,37,65,38,60,56,62,37,65,60,67,46,58,51,72,47,57,65,74,46,62,58,80,36,63,62,84
FL,4,16,21,30,13,44,14,18,17,23,17,34,34,56,21,48,20,63,19,41,23,56,29,56,49,40,23,36,42,56,27,61,39,56,34,53,44,63,39,62,46,60,33,64,48,55,40,67,53,59,42,72,43,67,41,73
OH,6,14,23,34,14,39,17,22,19,21,25,38,31,48,28,54,17,59,26,44,18,48,41,67,45,40,33,43,32,55,32,65,29,56,48,59,33,60,51,68,37,55,43,72,42,51,55,71,41,56,50,76,34,63,49,76
OH,6,12,56,29,11,33,18,32,9,29,43,34,27,59,42,64,15,80,28,47,16,55,38,58,33,46,45,37,36,66,47,59,47,55,63,61,36,70,58,69,33,60,50,69,47,59,65,77,33,66,46,73,23,73,45,80
ME,13,21,48,44,26,48,46,23,32,22,47,43,45,58,58,64,18,75,37,54,15,70,61,68,46,43,39,40,40,72,54,70,40,74,55,72,37,78,52,74,36,80,47,70,44,68,65,84,52,78,53,92,33,95,78,87
NY,6,13,27,33,13,46,19,22,15,24,24,36,32,58,33,52,22,68,26,46,21,55,47,60,43,43,29,38,31,61,39,66,40,58,57,60,40,66,59,67,37,62,55,71,47,57,65,72,36,61,52,74,29,62,58,72
FL,5,18,19,33,14,45,11,19,18,20,17,33,32,53,20,47,22,60,18,40,21,59,27,55,49,41,21,36,38,61,23,61,48,62,41,59,41,68,41,64,51,61,37,67,46,58,49,68,49,63,41,72,40,69,45,77
MI,11,11,68,32,15,50,28,19,18,23,41,26,31,70,36,70,9,100,26,48,20,63,55,71,37,52,31,42,32,73,41,72,27,65,56,63,35,86,62,61,31,74,45,71,34,65,57,69,32,81,52,69,30,87,48,68
KY,15,21,82,47,26,44,56,29,38,25,66,50,56,59,74,72,24,71,50,55,37,61,82,73,57,43,57,46,38,61,50,73,41,63,71,67,40,74,78,79,46,67,66,76,44,61,80,79,41,70,66,87,29,73,67,87
OH,3,12,34,35,12,42,22,24,11,23,24,40,31,51,26,57,17,60,27,41,18,57,43,66,41,47,34,39,32,61,36,72,35,57,64,65,29,60,49,72,30,55,45,74,45,55,56,73,39,56,44,83,32,64,49,83
MA,8,18,34,33,10,41,19,21,15,22,30,36,23,46,35,55,19,61,26,42,16,52,49,59,38,35,38,36,26,58,42,59,34,59,47,56,28,63,63,67,43,59,63,73,62,56,81,75,56,62,73,78,42,64,72,75
VA,7,17,27,34,14,41,17,19,19,23,22,34,31,55,27,49,24,64,22,44,23,58,31,62,61,41,28,40,40,58,36,70,47,59,52,60,44,62,52,67,47,55,49,69,52,56,56,73,53,57,49,78,44,67,52,80
NC,10,18,65,54,18,45,35,32,25,29,39,50,48,67,51,50,41,63,43,52,24,68,68,79,40,61,47,46,54,66,47,66,51,68,73,70,45,74,69,70,42,71,44,72,38,63,53,72,47,74,58,78,41,84,58,78
SC,5,12,37,35,19,36,25,29,26,22,28,43,31,48,43,61,20,60,26,46,22,58,56,64,56,45,37,41,44,60,48,76,53,62,77,72,45,70,85,76,53,61,76,81,55,59,79,83,60,62,75,83,41,74,73,83
OH,7,13,47,37,18,42,33,26,27,22,36,44,27,53,37,60,29,61,35,47,22,54,55,68,44,39,42,42,40,57,51,72,44,59,72,65,37,64,68,71,49,66,59,76,52,62,60,77,41,60,54,80,35,67,57,81
FL,5,18,23,29,15,35,8,18,19,20,18,32,34,45,22,46,21,50,19,42,19,43,35,54,32,30,18,29,45,59,26,61,41,62,36,56,27,52,26,55,41,63,34,68,45,55,48,71,44,59,47,73,33,70,49,74
NY,0,28,27,16,0,50,11,26,34,29,11,29,34,59,39,40,32,82,23,49,10,75,68,56,26,74,33,34,49,57,44,61,34,63,70,61,25,69,69,69,25,55,50,66,36,56,48,70,35,69,61,76,29,69,46,75
NC,12,21,32,42,12,47,25,23,20,16,22,37,29,61,29,54,18,64,26,49,21,66,49,65,33,44,35,45,37,78,40,67,43,71,55,57,39,81,55,63,51,73,53,71,42,65,60,64,38,73,51,74,34,83,54,75
MI,8,22,43,46,28,37,33,24,29,25,37,39,44,57,46,56,32,57,37,45,28,54,48,65,64,38,50,39,47,59,45,62,53,62,62,60,50,68,65,71,52,57,58,70,63,52,80,73,51,65,55,76,56,71,63,78
ME,0,22,100,44,59,95,28,22,0,25,59,43,0,43,71,49,0,55,39,48,0,47,39,59,69,64,100,68,38,54,28,88,38,100,58,78,49,92,65,94,38,100,93,89,37,100,98,82,48,99,91,78,22,88,58,77
