StateAbbr,2004+cardiovascular,2004+stroke,2004+obesity,2004+diabetes,2005+cardiovascular,2005+stroke,2005+obesity,2005+diabetes,2006+cardiovascular,2006+stroke,2006+obesity,2006+diabetes,2007+cardiovascular,2007+stroke,2007+obesity,2007+diabetes,2008+cardiovascular,2008+stroke,2008+obesity,2008+diabetes,2009+cardiovascular,2009+stroke,2009+obesity,2009+diabetes,2010+cardiovascular,2010+stroke,2010+obesity,2010+diabetes,2011+cardiovascular,2011+stroke,2011+obesity,2011+diabetes,2012+cardiovascular,2012+stroke,2012+obesity,2012+diabetes,2013+cardiovascular,2013+stroke,2013+obesity,2013+diabetes,2014+cardiovascular,2014+stroke,2014+obesity,2014+diabetes,2015+cardiovascular,2015+stroke,2015+obesity,2015+diabetes,2016+cardiovascular,2016+stroke,2016+obesity,2016+diabetes,2017+cardiovascular,2017+stroke,2017+obesity,2017+diabetes
IA,5,13,17,28,15,45,28,24,33,22,28,40,33,53,48,56,27,60,42,47,12,50,45,58,60,54,42,36,42,51,33,71,40,60,55,62,42,64,51,63,55,55,54,73,58,59,58,68,39,59,51,73,39,75,60,76
TX,11,14,40,39,15,37,19,21,16,16,28,37,34,50,37,52,33,49,33,44,26,49,51,54,61,35,39,34,44,54,44,64,45,55,59,57,39,59,54,64,35,56,36,66,49,51,66,69,55,51,81,77,41,65,81,79
TX,0,35,0,35,0,68,0,26,0,15,0,63,22,46,0,43,46,53,0,51,28,47,0,63,21,33,0,44,25,65,0,71,41,64,0,58,25,75,0,80,14,44,0,76,34,43,0,72,33,70,0,87,31,57,0,84
OK,15,17,57,29,55,51,27,20,15,26,18,37,46,56,36,62,23,60,26,47,23,65,60,65,46,39,37,49,23,58,39,68,37,54,50,58,23,59,57,70,39,46,55,71,49,55,53,75,32,65,48,84,23,74,45,71
AR,19,17,57,64,28,32,21,34,43,22,60,57,86,78,37,62,65,68,55,50,32,60,63,66,86,57,48,49,50,65,46,81,49,69,65,69,42,73,62,79,45,59,48,82,60,56,78,83,57,70,54,89,44,78,45,89
AL,11,22,27,42,21,54,22,26,31,27,29,44,52,70,36,64,33,73,27,48,40,60,38,63,84,50,34,42,62,64,43,76,69,63,55,68,67,72,55,73,70,64,52,77,85,62,63,76,75,69,49,81,64,81,49,81
MO,0,14,30,39,38,62,37,35,41,28,48,48,45,67,46,64,10,55,46,39,31,69,83,86,46,52,59,48,46,61,56,55,35,68,80,75,41,79,73,74,30,61,37,68,35,71,94,92,39,68,71,96,33,73,62,88
IL,4,17,36,34,27,40,25,27,22,23,51,39,32,54,61,62,19,55,45,51,21,66,77,59,68,43,49,45,69,70,36,70,53,65,65,62,40,76,55,73,55,69,58,78,58,56,64,79,68,73,54,79,50,84,54,85
TX,0,14,24,30,0,45,24,27,16,27,12,45,29,50,27,57,18,36,31,55,13,70,28,76,24,39,40,41,20,48,31,72,23,57,28,68,23,63,36,77,25,56,40,72,36,45,48,67,34,51,35,76,25,56,32,79
TX,6,16,20,42,17,37,15,33,21,22,33,41,29,59,28,54,20,49,21,41,9,53,31,59,33,44,21,32,31,47,25,67,31,56,29,69,32,60,35,67,34,54,39,74,37,50,45,75,34,56,35,83,34,67,38,73
TX,5,13,22,33,15,35,15,19,20,22,19,35,31,42,23,49,21,50,20,42,23,46,33,57,37,35,27,38,28,50,27,60,28,51,39,56,27,57,45,65,30,52,35,67,36,45,44,67,33,52,40,73,30,54,43,73
TX,6,19,38,54,25,30,29,30,32,21,33,44,39,46,41,54,22,40,31,54,20,40,43,78,48,36,36,50,42,39,41,72,45,44,68,63,40,40,67,65,44,32,42,75,40,30,54,73,46,40,50,94,37,49,56,96
IA,11,15,51,42,23,45,32,23,31,22,42,45,33,58,48,61,32,58,36,48,25,67,60,68,64,51,48,46,42,64,44,63,37,59,68,64,48,69,68,71,51,68,58,78,54,56,70,77,47,63,69,84,42,72,72,79
MO,11,17,58,28,69,31,28,19,31,21,43,34,47,66,47,63,38,64,33,60,30,51,65,45,52,54,49,38,51,59,69,56,76,63,63,59,41,69,65,73,64,65,31,71,68,64,57,84,57,65,58,69,49,75,52,84
TN,8,16,18,27,17,35,16,16,16,24,16,33,30,56,24,46,16,47,20,41,13,56,32,52,36,45,29,38,84,78,33,81,78,65,41,70,85,71,42,76,62,64,51,83,71,62,78,85,77,67,52,88,82,84,53,95
TN,8,15,28,41,20,38,21,27,37,23,25,39,44,56,26,61,30,58,25,50,37,60,42,66,72,40,28,49,66,60,45,82,78,59,63,72,70,62,73,79,79,63,52,80,83,58,62,78,90,60,57,82,77,68,49,84
TX,5,15,24,40,12,34,14,25,24,23,19,45,41,55,32,65,27,59,23,54,29,58,42,75,55,37,27,48,42,47,30,70,31,43,34,55,27,52,34,63,41,53,39,77,43,47,47,76,40,49,43,83,36,57,44,90
LA,13,14,18,32,19,37,14,14,39,25,20,29,62,57,22,50,25,55,17,40,27,47,47,48,52,44,20,34,64,62,31,57,54,64,44,54,62,71,40,58,71,69,29,58,87,67,48,64,89,68,38,67,78,74,41,65
LA,19,21,32,52,81,100,0,36,34,16,34,38,35,44,10,37,34,64,42,43,20,69,26,61,30,57,32,31,40,62,31,71,40,71,52,57,33,67,38,70,37,65,32,66,48,62,46,66,49,67,33,74,47,86,39,64
LA,0,49,38,55,0,57,26,20,42,20,21,40,47,59,14,35,23,40,21,42,37,41,28,58,42,48,32,27,38,56,25,75,29,61,64,55,38,69,45,65,48,55,48,60,60,63,58,68,43,70,54,79,42,79,37,70
MS,0,33,0,65,100,81,73,44,0,65,51,86,0,100,66,100,100,92,100,54,100,46,44,50,61,61,88,60,100,43,100,82,62,55,89,100,65,82,57,95,52,55,73,90,85,55,86,85,73,64,85,100,45,90,86,100
IL,7,13,35,42,19,47,26,26,25,23,42,46,32,47,49,64,33,66,48,53,26,58,73,66,79,39,49,46,50,60,53,69,52,63,77,63,47,61,88,73,52,64,68,75,64,51,85,77,61,58,75,77,56,68,77,78
IN,6,22,35,37,22,41,23,26,12,20,27,49,26,67,47,72,24,65,19,51,15,58,28,61,40,45,29,49,39,64,41,73,36,60,58,64,29,72,62,73,38,67,53,80,41,64,64,79,39,75,49,83,36,70,51,75
OK,5,12,31,38,16,41,16,24,17,20,26,40,29,48,32,61,22,53,26,48,21,53,35,61,41,37,28,42,32,60,38,71,32,55,56,67,27,71,42,65,32,60,36,65,43,56,45,68,45,58,51,80,32,64,49,76
TX,5,19,35,37,13,40,22,22,26,25,30,40,40,53,27,65,25,63,32,47,19,43,46,63,46,40,30,37,33,58,39,70,38,52,53,68,48,60,52,65,47,47,49,65,42,44,57,74,50,60,60,79,36,65,66,78
NE,9,15,35,45,15,47,21,25,16,23,27,43,34,60,29,57,19,56,25,51,17,56,44,67,44,43,31,43,31,56,35,68,32,58,50,62,31,67,52,70,34,60,45,70,36,52,53,73,35,63,49,78,27,69,51,77
FL,5,17,16,23,14,56,4,15,15,25,16,28,21,51,15,57,19,70,19,34,12,59,33,48,29,50,21,37,30,65,24,64,39,70,32,55,33,88,38,60,68,81,32,59,67,72,44,73,40,70,31,64,39,78,29,65
OK,22,16,38,41,24,38,26,21,72,13,19,32,31,55,36,74,26,91,33,48,23,51,37,48,69,48,28,44,28,68,32,66,39,64,42,63,39,75,47,71,47,64,53,79,42,63,63,75,46,73,41,81,31,77,31,80
WI,7,16,29,34,7,40,17,18,15,22,25,38,29,52,27,44,14,64,25,45,13,64,44,55,43,41,28,35,29,61,35,57,28,63,51,54,25,65,56,64,31,58,49,67,29,57,59,60,34,65,50,69,29,71,51,63
TN,10,18,31,44,16,44,25,26,23,23,28,47,35,54,36,64,29,66,30,54,25,55,55,74,64,54,39,50,48,64,39,76,45,63,54,65,36,72,50,70,43,65,41,77,49,59,51,72,42,66,49,79,36,74,50,81
TX,0,15,33,29,21,45,25,26,44,10,38,33,34,34,16,45,13,33,18,39,28,59,19,40,49,41,35,41,24,66,41,66,34,58,60,65,31,58,51,73,39,54,31,75,39,42,51,80,44,64,50,79,32,73,53,89
TX,0,16,28,45,29,36,29,21,38,20,32,31,32,64,32,61,7,61,21,43,28,37,22,65,33,42,24,36,26,46,16,48,27,57,35,58,33,64,65,79,53,59,39,69,32,51,65,80,50,69,48,80,32,68,31,88
WI,4,13,32,37,11,45,14,20,16,25,23,38,29,54,31,54,21,59,25,45,18,53,40,58,46,40,34,42,30,58,38,68,24,65,44,55,26,64,45,66,30,59,41,64,34,57,48,64,35,62,53,72,28,67,55,73
AR,5,18,50,36,11,41,27,23,19,19,21,37,36,46,32,51,15,55,25,38,17,55,43,51,44,33,25,33,35,57,35,65,30,57,50,58,25,66,55,66,28,55,39,71,43,49,53,64,38,58,45,75,25,65,47,80
OK,4,19,18,39,10,41,16,24,17,26,22,44,21,54,18,52,9,55,20,43,20,58,33,60,30,45,24,43,31,61,33,66,27,62,45,64,30,67,52,69,38,58,33,64,25,44,32,51,35,56,37,69,29,61,52,80
MS,8,14,34,26,19,28,31,19,33,20,50,39,42,64,70,65,27,58,46,53,23,51,94,76,76,54,69,39,67,69,60,81,50,70,76,77,28,60,35,56,48,60,32,64,55,57,81,76,54,63,66,86,47,70,56,81
IL,7,14,43,39,17,54,28,24,20,30,34,46,35,63,52,66,13,59,40,50,22,55,54,76,41,51,37,50,30,71,46,71,33,63,59,65,36,67,62,72,43,67,53,74,47,65,66,71,45,69,55,81,34,73,53,81
WI,9,15,59,45,12,40,31,21,19,25,35,42,36,72,44,53,18,80,36,56,19,73,43,64,40,54,38,42,37,78,59,74,46,83,58,75,38,100,57,76,50,79,55,79,53,73,61,76,46,82,68,82,29,96,66,85
KS,6,21,44,38,12,49,23,21,22,23,35,39,37,63,37,50,21,67,28,40,21,61,37,57,30,39,30,39,32,63,38,70,38,59,47,56,22,64,42,64,28,51,30,59,51,57,51,70,43,65,43,80,38,70,49,79
IA,7,15,32,42,8,43,17,23,15,22,34,42,29,58,43,56,16,59,29,52,17,57,41,64,39,40,37,45,30,52,35,64,28,56,51,59,27,60,55,65,33,53,48,74,39,52,63,71,45,52,60,77,33,62,60,77
IL,7,18,26,40,14,48,20,25,29,27,23,41,38,60,31,48,19,47,27,43,19,60,50,67,44,39,26,38,48,61,37,66,40,57,52,61,40,63,49,64,54,53,48,76,54,58,67,73,58,59,50,78,44,70,51,78
FL,7,18,25,37,15,50,9,19,17,21,22,37,26,58,24,47,17,66,19,40,17,57,30,56,38,46,27,38,32,67,27,65,40,65,45,61,37,73,49,66,44,67,35,71,43,64,46,77,50,68,40,73,39,76,46,72
ND,6,16,23,48,23,45,26,25,22,28,29,45,39,65,47,56,19,73,29,46,18,57,51,64,33,48,29,42,21,73,31,62,24,69,38,61,31,81,44,66,18,76,34,68,29,70,36,68,22,73,34,71,22,82,47,76
AL,7,18,20,34,14,46,16,23,16,19,21,39,28,61,32,48,19,74,22,48,20,65,36,60,42,48,30,41,38,60,24,60,36,60,44,63,29,66,47,71,43,62,40,72,49,57,48,71,52,62,38,80,40,73,37,77
TX,10,18,39,47,17,39,8,28,23,26,15,36,22,57,34,44,20,45,13,41,27,44,41,70,49,51,34,42,34,63,31,66,51,61,41,57,43,74,47,70,65,56,38,69,57,53,56,70,44,63,26,75,45,74,35,75
AR,8,13,30,44,19,41,17,23,21,23,30,48,29,52,38,67,29,73,29,48,20,61,52,67,44,43,32,47,36,66,39,79,46,68,59,72,37,72,72,78,39,65,53,75,48,64,61,77,45,66,56,81,33,80,58,80
AL,7,11,28,47,19,47,22,23,26,19,35,45,48,61,49,62,31,57,31,49,34,51,52,59,59,40,27,43,57,62,37,65,72,63,54,67,65,70,58,79,100,61,47,78,94,61,55,83,88,60,46,79,78,73,52,77
WI,5,16,54,33,18,45,26,20,19,23,31,40,35,59,32,50,25,62,30,46,25,62,48,61,39,43,38,38,46,72,53,65,43,77,79,60,35,84,74,71,49,78,60,74,53,72,80,73,41,74,68,78,31,80,82,73
WI,6,13,32,39,16,44,28,27,23,30,27,35,58,72,30,48,38,64,24,46,27,61,46,60,49,40,39,41,69,66,45,69,70,66,71,61,59,75,59,69,73,73,52,75,56,66,68,69,58,78,52,76,46,90,59,76
TX,9,19,30,56,27,44,28,27,28,19,27,42,30,54,36,51,19,59,26,45,28,49,42,60,50,43,36,39,38,62,51,80,52,62,48,60,45,74,55,71,73,68,41,77,66,59,55,80,60,71,51,86,46,83,47,81
MS,29,15,25,54,81,44,11,29,21,10,58,41,44,70,30,53,25,52,36,46,18,66,52,48,46,39,13,47,40,65,43,67,35,61,40,61,35,74,54,59,40,71,42,75,52,55,69,74,58,77,47,82,30,83,51,84
MS,0,0,73,63,74,78,35,32,100,21,100,16,73,69,100,32,72,69,58,43,26,81,57,69,68,35,32,42,47,62,40,85,54,60,87,85,37,66,47,100,53,77,63,72,100,50,72,80,87,62,60,78,100,76,43,95
LA,12,19,38,49,15,39,18,19,21,27,30,39,38,58,37,58,25,54,34,47,26,55,55,72,51,43,41,44,60,57,43,68,50,61,59,60,51,70,62,69,64,61,47,70,64,55,58,70,67,61,58,68,51,67,57,66
IA,13,15,63,32,20,35,35,24,48,26,58,32,24,77,53,90,32,22,40,41,39,39,86,70,75,37,53,46,70,46,70,79,55,69,95,69,54,79,98,77,43,70,79,85,73,52,83,90,52,71,48,75,44,72,67,79
MS,13,17,35,47,25,53,22,29,25,20,32,47,32,49,31,60,24,56,29,46,23,49,44,66,48,40,34,41,45,68,58,83,59,63,68,75,50,78,72,78,58,70,75,92,56,63,69,79,67,68,65,90,43,74,72,86
NE,7,18,42,46,19,47,27,24,17,23,38,42,30,55,53,54,19,50,37,47,25,47,57,57,49,34,44,38,37,57,46,72,32,55,68,62,28,63,62,68,39,61,62,71,43,54,66,70,38,60,68,79,31,64,60,70
ND,6,17,32,38,19,48,24,27,24,26,34,51,29,65,64,63,22,79,35,53,24,57,56,70,52,48,41,43,42,66,44,71,50,65,53,72,39,75,70,78,50,71,62,85,43,65,59,78,51,80,67,81,37,86,57,81
SD,7,14,47,46,22,35,28,23,19,26,30,45,35,50,47,65,17,60,31,52,24,56,51,63,63,45,33,48,44,62,56,76,58,66,69,77,53,73,70,85,52,70,59,89,59,60,68,89,56,71,68,89,47,77,61,87
AR,0,15,52,38,25,40,30,33,29,17,40,28,57,62,43,66,41,82,41,49,20,62,53,79,46,51,46,41,44,58,52,86,33,71,60,66,57,82,84,63,46,60,65,77,57,72,60,73,50,79,48,82,36,84,66,71
KY,5,14,47,31,28,46,35,20,23,24,68,44,35,55,44,52,25,72,51,48,17,67,42,70,36,46,43,39,25,57,47,57,19,66,71,58,28,64,34,66,29,61,26,64,28,68,41,64,42,66,58,74,32,79,52,75
MN,22,17,37,51,18,47,25,24,15,23,47,38,73,69,59,50,14,73,46,59,20,46,61,55,29,39,48,35,34,53,38,63,53,61,88,72,44,62,97,68,39,57,58,83,61,55,96,64,59,68,99,74,34,81,67,78
NE,100,57,0,75,73,60,0,21,71,45,0,33,0,38,0,68,0,33,0,38,0,57,0,39,0,52,0,11,94,86,0,56,32,56,0,70,22,69,0,68,29,62,0,68,43,62,0,79,60,77,0,72,31,74,0,56
AK,5,16,24,38,6,47,16,23,16,26,19,43,13,65,19,60,13,70,22,42,14,68,29,56,23,50,21,40,26,59,26,67,22,64,46,58,27,74,43,67,32,68,41,68,29,67,48,72,39,71,45,88,19,80,50,81
HI,6,20,34,40,8,46,21,20,15,27,27,36,27,57,29,50,16,67,22,44,15,57,39,57,31,45,32,39,28,58,42,65,26,59,65,59,29,70,57,68,26,60,50,66,38,57,55,65,36,60,55,79,28,67,51,80
AK,12,32,52,36,21,59,13,25,12,22,21,41,16,59,49,42,17,77,27,42,7,36,52,50,52,43,31,34,28,57,31,70,18,56,55,57,20,64,54,56,23,66,33,58,50,63,56,73,45,75,61,66,14,72,51,80
MS,6,15,20,37,13,40,15,16,14,31,9,31,35,67,22,61,25,76,22,42,23,66,25,52,44,44,13,34,45,73,36,65,38,79,43,65,47,85,59,68,45,71,41,75,44,60,56,74,43,63,47,88,31,86,37,83
AK,0,19,0,58,0,32,0,22,0,41,0,51,0,52,0,59,0,87,0,37,0,95,0,66,0,48,0,50,0,63,0,59,0,81,0,66,0,78,0,73,0,87,0,84,0,79,0,70,0,87,0,70,0,100,0,97
TX,0,19,32,46,0,21,12,34,25,12,26,45,47,26,54,69,13,35,30,53,19,30,21,61,23,22,39,35,25,27,43,85,55,30,50,63,42,39,49,75,52,46,54,80,51,39,49,74,40,40,34,81,44,48,40,84
CO,6,15,24,33,13,43,15,19,15,21,20,33,26,48,26,45,17,58,20,39,18,51,31,54,39,39,26,36,30,52,30,52,29,54,47,49,27,58,46,56,30,51,39,59,37,50,52,60,36,54,46,67,28,59,50,66
CO,5,19,26,26,11,41,18,17,14,23,24,34,22,50,23,44,12,60,21,39,14,49,29,53,25,36,27,30,24,52,33,59,32,55,53,56,30,60,53,61,26,56,41,63,41,48,49,69,33,58,36,70,28,61,42,73
AZ,5,17,23,35,12,40,16,21,17,23,20,36,32,49,23,49,19,58,21,41,22,48,35,59,50,38,28,41,45,55,30,66,44,57,46,60,40,60,50,65,47,57,45,68,54,52,56,72,54,58,50,80,46,64,50,78
MT,0,15,62,27,19,49,30,21,16,27,19,32,15,61,38,54,15,95,26,39,31,51,43,57,35,39,35,38,28,59,37,66,22,60,60,55,22,76,50,60,19,53,59,66,24,59,53,66,28,56,61,69,25,79,61,69
MT,12,34,32,34,22,40,12,23,22,42,31,40,30,80,32,52,24,69,19,31,9,36,30,64,17,47,30,52,30,72,31,75,34,62,68,61,42,66,68,69,42,74,57,75,41,58,42,65,32,94,43,74,31,79,40,80
MT,18,20,35,49,27,68,29,28,33,39,27,33,33,76,27,48,17,51,30,47,9,53,43,64,31,66,32,42,34,67,31,62,35,59,47,65,30,70,45,72,21,73,44,76,40,61,58,70,38,63,50,83,31,78,36,81
ID,4,16,42,39,8,39,22,21,18,24,33,39,24,60,37,60,17,63,28,45,19,61,44,67,39,42,32,47,25,57,31,71,29,59,55,64,29,70,57,66,37,59,49,73,36,59,60,70,38,60,50,73,28,70,54,81
ID,0,16,66,34,16,46,28,18,13,28,52,44,27,60,50,51,21,54,31,51,16,72,30,64,45,50,40,40,37,57,52,80,34,74,71,68,35,81,74,78,33,68,60,92,46,66,88,90,48,70,68,88,31,78,71,95
NE,9,17,29,46,15,52,22,20,21,20,34,31,16,58,36,53,30,65,24,40,21,64,28,53,57,31,35,35,45,53,51,78,39,65,74,69,34,68,62,63,14,72,42,73,25,51,60,69,36,60,48,71,26,59,47,80
ID,16,28,27,24,27,50,32,22,26,42,13,28,27,80,41,66,13,76,31,48,21,85,58,48,69,32,48,43,38,44,52,56,32,64,67,49,27,73,66,59,17,68,100,64,43,54,67,69,42,53,54,73,33,71,47,69
MT,4,16,30,31,14,48,19,29,13,28,35,39,17,54,43,55,13,70,25,48,22,61,37,52,27,52,23,38,31,61,43,64,35,68,47,65,28,67,46,78,36,66,45,69,34,63,59,73,33,74,51,78,28,73,46,81
SD,0,15,20,40,12,32,13,29,14,37,31,40,25,50,39,66,24,67,25,51,10,54,49,66,52,47,38,40,37,67,34,75,39,68,67,59,26,69,57,60,28,64,34,66,47,62,52,67,31,66,46,78,27,70,64,74
TX,5,13,51,46,17,34,26,35,24,18,42,47,33,47,46,73,19,39,37,54,26,41,42,70,63,31,42,47,45,44,48,72,44,40,64,69,38,49,64,82,62,42,61,84,60,38,59,77,63,47,58,94,52,53,53,82
MT,16,19,28,67,15,52,14,21,20,25,28,43,20,67,34,43,10,87,30,51,0,45,49,81,43,47,28,49,37,65,56,91,28,59,73,71,16,79,47,75,30,68,58,100,27,65,50,90,17,75,64,97,10,75,46,93
WY,0,17,60,37,18,40,27,23,29,28,32,25,0,55,26,57,11,82,32,44,14,72,29,43,29,47,56,56,27,64,38,56,33,79,32,58,20,79,43,70,36,78,38,81,22,60,58,71,26,66,47,87,27,93,45,80
UT,6,16,35,39,11,40,23,22,15,24,26,41,24,55,36,52,16,62,25,42,19,51,46,59,39,39,31,40,32,54,40,68,34,57,54,60,29,63,49,65,37,57,44,69,39,54,58,72,37,59,52,79,31,68,54,75
CA,0,23,27,31,25,21,18,27,43,30,39,37,42,29,48,26,56,53,39,47,28,58,85,74,0,40,40,43,29,43,49,66,19,44,60,58,41,66,55,64,54,49,51,70,55,43,72,72,54,52,55,75,57,55,48,80
CO,11,8,57,28,0,65,14,25,22,14,35,34,12,37,50,48,15,53,31,52,18,54,65,74,38,41,48,34,31,66,38,66,22,73,58,59,36,91,59,65,29,68,61,65,24,66,53,75,43,69,54,76,19,74,56,72
AZ,5,18,24,38,9,44,18,24,13,22,24,40,25,46,29,56,19,66,25,49,17,51,38,61,43,39,29,40,37,57,40,70,35,61,54,66,38,60,66,72,44,55,57,82,40,52,62,77,45,57,60,83,27,64,55,79
NM,6,13,32,45,8,48,14,29,16,24,22,51,22,50,29,61,13,63,24,53,18,55,42,73,37,41,31,50,27,55,35,79,30,56,53,70,34,61,54,78,33,57,48,81,39,53,53,76,40,58,47,83,29,65,49,80
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,5,14,35,41,11,50,25,20,13,18,26,37,22,36,38,46,9,68,38,40,15,42,42,41,26,29,32,39,26,51,51,65,35,52,50,51,38,49,55,64,37,53,45,73,43,48,60,75,52,51,52,79,44,58,51,78
OR,9,19,39,40,26,46,28,22,16,23,28,39,27,54,35,57,20,68,35,43,19,59,51,53,37,44,39,35,37,61,43,62,33,59,65,60,33,65,62,69,41,66,62,71,33,61,70,70,47,65,75,78,31,75,86,79
CA,0,13,0,23,13,36,20,14,0,23,29,46,28,72,48,53,14,94,32,41,13,47,27,49,37,38,21,45,15,42,32,55,26,61,42,57,13,61,33,54,29,51,51,65,29,51,51,60,29,61,46,64,35,76,47,66
CA,5,15,24,30,11,35,16,18,14,18,22,30,22,43,26,42,14,49,22,36,16,45,35,49,35,34,26,34,27,47,28,52,26,50,40,50,26,52,44,55,32,48,40,61,35,46,52,63,39,50,49,73,33,55,53,74
CA,13,14,23,13,10,44,21,19,7,23,10,25,14,55,18,40,11,49,15,38,6,51,22,52,29,35,25,27,21,57,32,59,24,66,36,56,21,79,42,60,32,60,43,59,35,55,43,64,29,57,38,76,27,70,47,81
CA,5,15,20,31,12,39,15,18,15,21,19,33,27,44,21,45,19,38,13,35,17,26,16,43,28,16,10,24,29,51,25,57,30,51,38,51,28,56,41,57,32,49,35,59,33,47,43,61,36,48,45,68,29,53,45,67
WA,2,14,30,32,15,46,10,23,23,19,25,42,20,53,38,57,25,63,27,47,22,54,52,59,36,42,27,38,30,57,40,68,31,57,49,67,29,62,65,71,34,57,57,70,40,52,57,83,39,57,50,82,25,60,48,80
NV,5,17,21,34,6,46,18,19,8,24,19,30,18,56,26,42,17,64,18,41,17,63,40,57,35,46,31,36,28,66,40,62,31,61,50,59,29,69,50,60,24,63,38,66,28,55,57,65,39,66,47,70,30,69,54,69
OR,12,19,41,28,11,51,20,23,13,25,24,37,24,56,35,52,14,70,23,50,13,49,61,55,43,49,37,37,30,70,36,62,29,67,45,58,29,76,55,69,25,69,43,73,37,62,62,71,36,60,52,77,23,77,40,79
WA,4,15,26,33,11,39,16,20,14,21,20,33,21,46,24,47,13,56,18,39,13,54,33,55,29,38,23,35,23,52,26,57,22,54,36,52,21,62,38,59,23,55,34,62,25,53,45,64,28,54,43,72,22,63,46,71
OR,4,18,29,36,14,42,18,20,14,24,24,38,24,54,29,52,14,55,23,41,14,55,41,58,38,42,27,36,27,56,34,62,30,57,49,58,24,41,30,51,21,36,24,47,32,40,42,57,39,55,53,75,31,62,58,73
OR,12,18,46,45,17,37,19,18,18,24,20,35,24,63,25,48,6,71,22,43,14,60,12,45,17,43,23,34,34,58,37,57,38,69,52,52,23,76,63,57,37,66,37,71,28,51,54,62,43,72,41,61,26,81,50,61
CA,5,15,22,29,12,35,15,20,16,19,22,33,28,48,26,46,18,53,22,39,20,47,37,51,43,34,29,38,39,49,35,60,41,51,46,58,34,59,50,60,42,51,45,65,47,47,57,68,50,52,52,77,37,57,56,76
CA,4,12,26,32,12,45,17,20,20,22,32,38,16,41,25,44,10,45,21,41,10,42,43,50,29,26,39,31,23,47,36,58,25,58,54,50,23,60,48,58,30,53,49,61,26,50,72,56,32,49,64,70,27,55,64,67
NV,4,16,17,30,10,35,10,18,15,20,17,32,30,43,19,38,18,45,17,38,19,41,29,53,44,35,20,41,39,49,23,55,44,50,36,52,32,56,34,58,38,53,33,63,34,45,43,70,37,49,38,69,31,55,42,70
CA,5,13,38,27,10,31,15,15,13,24,25,28,19,53,28,38,16,59,28,34,10,51,48,45,28,38,25,32,24,60,31,54,25,54,57,51,24,58,58,55,21,53,44,61,28,48,56,57,35,51,54,63,24,60,53,63
CA,4,17,29,35,13,45,19,23,16,24,26,39,28,53,36,50,19,59,26,43,19,56,40,58,38,40,29,40,29,53,34,60,29,56,51,60,29,62,53,65,38,57,46,70,39,56,58,73,38,57,48,75,29,64,55,76
CA,7,13,33,34,17,35,24,21,15,20,40,35,37,43,41,54,20,48,31,39,18,45,45,59,48,32,31,39,25,39,26,47,30,48,49,48,40,58,59,68,38,51,52,69,42,51,58,65,55,52,64,81,42,61,63,77
CA,4,22,41,24,10,45,38,19,10,28,29,32,38,51,47,39,16,85,26,37,10,52,58,44,30,37,45,38,23,61,38,56,32,62,53,65,30,72,50,74,35,69,46,74,38,63,60,66,36,67,63,75,38,76,62,75
WA,6,17,30,46,16,47,24,19,18,23,28,33,28,59,39,56,16,66,25,45,24,56,40,54,39,39,32,40,29,60,38,72,37,65,61,63,31,74,59,68,37,64,54,73,34,58,66,68,36,67,52,79,33,77,53,73
